role,source_split,profile,level,pair_id,condition,space,metric,value
primary,test,bursty,60,18,attack_sweep_bursty,2048,B5_locked_attack_alert,0.4066666666666667
primary,test,bursty,60,18,attack_sweep_bursty,2048,B5_locked_benign_trigger,0.36666666666666664
primary,test,bursty,60,18,attack_sweep_bursty,2048,B5_locked_FNR,0.5933333333333333
primary,test,bursty,60,18,attack_sweep_bursty,2048,B5_locked_J,0.040000000000000036
primary,test,bursty,60,18,attack_sweep_bursty,65536,entropy_AP,0.5038538354486757
primary,test,bursty,60,18,attack_sweep_bursty,65536,unique_ratio_AP,0.5190311418685121
primary,test,bursty,60,18,attack_sweep_bursty,65536,B2_attack_alert,1.0
primary,test,bursty,60,18,attack_sweep_bursty,65536,B2_benign_trigger,1.0
primary,test,bursty,60,18,attack_sweep_bursty,65536,B2_FNR,0.0
primary,test,bursty,60,18,attack_sweep_bursty,65536,B2_J,0.0
primary,test,bursty,60,18,attack_sweep_bursty,65536,B5_initial_attack_alert,1.0
primary,test,bursty,60,18,attack_sweep_bursty,65536,B5_initial_benign_trigger,1.0
primary,test,bursty,60,18,attack_sweep_bursty,65536,B5_initial_FNR,0.0
primary,test,bursty,60,18,attack_sweep_bursty,65536,B5_initial_J,0.0
primary,test,bursty,60,18,attack_sweep_bursty,65536,B5_locked_attack_alert,0.4066666666666667
primary,test,bursty,60,18,attack_sweep_bursty,65536,B5_locked_benign_trigger,0.4066666666666667
primary,test,bursty,60,18,attack_sweep_bursty,65536,B5_locked_FNR,0.5933333333333333
primary,test,bursty,60,18,attack_sweep_bursty,65536,B5_locked_J,0.0
primary,test,bursty,120,8,attack_sweep_bursty,2048,entropy_AP,0.547067220041197
primary,test,bursty,120,8,attack_sweep_bursty,2048,unique_ratio_AP,0.814880978415589
primary,test,bursty,120,8,attack_sweep_bursty,2048,B2_attack_alert,1.0
primary,test,bursty,120,8,attack_sweep_bursty,2048,B2_benign_trigger,1.0
primary,test,bursty,120,8,attack_sweep_bursty,2048,B2_FNR,0.0
primary,test,bursty,120,8,attack_sweep_bursty,2048,B2_J,0.0
primary,test,bursty,120,8,attack_sweep_bursty,2048,B5_initial_attack_alert,1.0
primary,test,bursty,120,8,attack_sweep_bursty,2048,B5_initial_benign_trigger,1.0
primary,test,bursty,120,8,attack_sweep_bursty,2048,B5_initial_FNR,0.0
primary,test,bursty,120,8,attack_sweep_bursty,2048,B5_initial_J,0.0
primary,test,bursty,120,8,attack_sweep_bursty,2048,B5_locked_attack_alert,0.9933333333333333
primary,test,bursty,120,8,attack_sweep_bursty,2048,B5_locked_benign_trigger,0.9866666666666667
primary,test,bursty,120,8,attack_sweep_bursty,2048,B5_locked_FNR,0.00666666666666671
primary,test,bursty,120,8,attack_sweep_bursty,2048,B5_locked_J,0.006666666666666599
primary,test,bursty,120,8,attack_sweep_bursty,65536,entropy_AP,0.49964917529789993
primary,test,bursty,120,8,attack_sweep_bursty,65536,unique_ratio_AP,0.49340207064913844
primary,test,bursty,120,8,attack_sweep_bursty,65536,B2_attack_alert,1.0
primary,test,bursty,120,8,attack_sweep_bursty,65536,B2_benign_trigger,1.0
primary,test,bursty,120,8,attack_sweep_bursty,65536,B2_FNR,0.0
primary,test,bursty,120,8,attack_sweep_bursty,65536,B2_J,0.0
primary,test,bursty,120,8,attack_sweep_bursty,65536,B5_initial_attack_alert,1.0
primary,test,bursty,120,8,attack_sweep_bursty,65536,B5_initial_benign_trigger,1.0
primary,test,bursty,120,8,attack_sweep_bursty,65536,B5_initial_FNR,0.0
primary,test,bursty,120,8,attack_sweep_bursty,65536,B5_initial_J,0.0
primary,test,bursty,120,8,attack_sweep_bursty,65536,B5_locked_attack_alert,0.9933333333333333
primary,test,bursty,120,8,attack_sweep_bursty,65536,B5_locked_benign_trigger,0.9933333333333333
primary,test,bursty,120,8,attack_sweep_bursty,65536,B5_locked_FNR,0.00666666666666671
primary,test,bursty,120,8,attack_sweep_bursty,65536,B5_locked_J,0.0
primary,test,bursty,120,12,attack_sweep_bursty,2048,entropy_AP,0.559803008722964
primary,test,bursty,120,12,attack_sweep_bursty,2048,unique_ratio_AP,0.8329629475261304
primary,test,bursty,120,12,attack_sweep_bursty,2048,B2_attack_alert,1.0
primary,test,bursty,120,12,attack_sweep_bursty,2048,B2_benign_trigger,1.0
primary,test,bursty,120,12,attack_sweep_bursty,2048,B2_FNR,0.0
primary,test,bursty,120,12,attack_sweep_bursty,2048,B2_J,0.0
primary,test,bursty,120,12,attack_sweep_bursty,2048,B5_initial_attack_alert,1.0
primary,test,bursty,120,12,attack_sweep_bursty,2048,B5_initial_benign_trigger,1.0
primary,test,bursty,120,12,attack_sweep_bursty,2048,B5_initial_FNR,0.0
primary,test,bursty,120,12,attack_sweep_bursty,2048,B5_initial_J,0.0
primary,test,bursty,120,12,attack_sweep_bursty,2048,B5_locked_attack_alert,0.9933333333333333
primary,test,bursty,120,12,attack_sweep_bursty,2048,B5_locked_benign_trigger,0.9866666666666667
primary,test,bursty,120,12,attack_sweep_bursty,2048,B5_locked_FNR,0.00666666666666671
primary,test,bursty,120,12,attack_sweep_bursty,2048,B5_locked_J,0.006666666666666599
primary,test,bursty,120,12,attack_sweep_bursty,65536,entropy_AP,0.5157815741151122
primary,test,bursty,120,12,attack_sweep_bursty,65536,unique_ratio_AP,0.5570890830647287
primary,test,bursty,120,12,attack_sweep_bursty,65536,B2_attack_alert,1.0
primary,test,bursty,120,12,attack_sweep_bursty,65536,B2_benign_trigger,1.0
primary,test,bursty,120,12,attack_sweep_bursty,65536,B2_FNR,0.0
primary,test,bursty,120,12,attack_sweep_bursty,65536,B2_J,0.0
primary,test,bursty,120,12,attack_sweep_bursty,65536,B5_initial_attack_alert,1.0
primary,test,bursty,120,12,attack_sweep_bursty,65536,B5_initial_benign_trigger,1.0
primary,test,bursty,120,12,attack_sweep_bursty,65536,B5_initial_FNR,0.0
primary,test,bursty,120,12,attack_sweep_bursty,65536,B5_initial_J,0.0
primary,test,bursty,120,12,attack_sweep_bursty,65536,B5_locked_attack_alert,0.9933333333333333
primary,test,bursty,120,12,attack_sweep_bursty,65536,B5_locked_benign_trigger,0.9866666666666667
primary,test,bursty,120,12,attack_sweep_bursty,65536,B5_locked_FNR,0.00666666666666671
primary,test,bursty,120,12,attack_sweep_bursty,65536,B5_locked_J,0.006666666666666599
primary,test,bursty,120,14,attack_sweep_bursty,2048,entropy_AP,0.5613225956341115
primary,test,bursty,120,14,attack_sweep_bursty,2048,unique_ratio_AP,0.8264775213433204
primary,test,bursty,120,14,attack_sweep_bursty,2048,B2_attack_alert,1.0
