level_samples_per_window,behavior,run_idx,seed,decisions,blocks_legacy,blocks_combined,blocks_volume,blocks_entropy,blocks_unique,fpr_legacy,fpr_combined,fpr_volume,fpr_entropy,fpr_unique,entropy_mean,entropy_p95,samples_mean,unique_ratio_mean
18,sequential,16,22070882,300,300,52,52,241,300,1.000000,0.173333,0.173333,0.803333,1.000000,4.2490,4.7004,19.517,1.0000
18,sequential,17,22070883,300,300,32,32,227,300,1.000000,0.106667,0.106667,0.756667,1.000000,4.1541,4.6439,18.283,1.0000
18,sequential,18,22070884,300,300,25,25,235,300,1.000000,0.083333,0.083333,0.783333,1.000000,4.1582,4.5850,18.193,1.0000
18,sequential,19,22070885,300,300,33,33,243,300,1.000000,0.110000,0.110000,0.810000,1.000000,4.1842,4.6439,18.537,1.0000
18,smallpool16,0,22080873,300,300,0,33,0,39,1.000000,0.000000,0.110000,0.000000,0.130000,3.3509,3.6620,19.313,0.6039
18,smallpool16,1,22080874,300,300,0,12,0,69,1.000000,0.000000,0.040000,0.000000,0.230000,3.2968,3.5857,17.553,0.6346
18,smallpool16,2,22080875,300,300,0,61,0,26,1.000000,0.000000,0.203333,0.000000,0.086667,3.3426,3.6897,19.807,0.5897
18,smallpool16,3,22080876,300,300,0,59,0,39,1.000000,0.000000,0.196667,0.000000,0.130000,3.3061,3.6425,19.053,0.5943
18,smallpool16,4,22080877,300,300,0,37,0,73,1.000000,0.000000,0.123333,0.000000,0.243333,3.2957,3.6538,18.350,0.6241
18,smallpool16,5,22080878,300,300,0,17,0,62,1.000000,0.000000,0.056667,0.000000,0.206667,3.1947,3.5768,16.797,0.6236
18,smallpool16,6,22080879,300,300,0,31,0,28,1.000000,0.000000,0.103333,0.000000,0.093333,3.3221,3.7090,19.300,0.5918
18,smallpool16,7,22080880,300,300,0,34,0,48,1.000000,0.000000,0.113333,0.000000,0.160000,3.2631,3.6097,18.573,0.6051
18,smallpool16,8,22080881,300,300,0,42,0,31,1.000000,0.000000,0.140000,0.000000,0.103333,3.3183,3.6537,18.963,0.6056
18,smallpool16,9,22080882,300,300,0,42,0,39,1.000000,0.000000,0.140000,0.000000,0.130000,3.3571,3.7546,19.523,0.5979
18,smallpool16,10,22080883,300,300,0,50,0,32,1.000000,0.000000,0.166667,0.000000,0.106667,3.2929,3.6758,19.940,0.5734
18,smallpool16,11,22080884,300,300,0,13,0,49,1.000000,0.000000,0.043333,0.000000,0.163333,3.2804,3.6253,17.950,0.6131
18,smallpool16,12,22080885,300,300,0,27,0,62,1.000000,0.000000,0.090000,0.000000,0.206667,3.2780,3.6733,17.773,0.6297
18,smallpool16,13,22080886,300,300,0,77,0,30,1.000000,0.000000,0.256667,0.000000,0.100000,3.3850,3.6764,20.963,0.5824
18,smallpool16,14,22080887,300,300,0,36,0,46,1.000000,0.000000,0.120000,0.000000,0.153333,3.2924,3.6219,19.273,0.5898
18,smallpool16,15,22080888,300,300,0,48,0,64,1.000000,0.000000,0.160000,0.000000,0.213333,3.3197,3.6820,19.263,0.6044
18,smallpool16,16,22080889,300,300,0,37,0,29,1.000000,0.000000,0.123333,0.000000,0.096667,3.2719,3.7399,19.127,0.5892
18,smallpool16,17,22080890,300,300,0,2,0,60,1.000000,0.000000,0.006667,0.000000,0.200000,3.1951,3.4993,16.907,0.6247
18,smallpool16,18,22080891,300,300,0,69,0,25,1.000000,0.000000,0.230000,0.000000,0.083333,3.2616,3.6246,19.920,0.5741
18,smallpool16,19,22080892,300,300,0,43,0,47,1.000000,0.000000,0.143333,0.000000,0.156667,3.3254,3.6468,18.977,0.6085
24,random2048,0,22660877,300,300,143,143,281,300,1.000000,0.476667,0.476667,0.936667,1.000000,4.5093,5.0444,23.610,0.9946
24,random2048,1,22660878,300,300,238,238,300,300,1.000000,0.793333,0.793333,1.000000,1.000000,4.7006,5.0000,26.207,0.9998
24,random2048,2,22660879,300,300,107,107,271,300,1.000000,0.356667,0.356667,0.903333,1.000000,4.4101,4.9069,21.980,0.9945
24,random2048,3,22660880,300,300,219,219,288,300,1.000000,0.730000,0.730000,0.960000,1.000000,4.6700,5.1151,26.257,0.9956
24,random2048,4,22660881,300,300,225,225,300,300,1.000000,0.750000,0.750000,1.000000,1.000000,4.6986,5.0000,26.363,0.9974
24,random2048,5,22660882,300,300,186,186,297,300,1.000000,0.620000,0.620000,0.990000,1.000000,4.6504,5.1554,25.840,0.9947
24,random2048,6,22660883,300,300,167,167,285,300,1.000000,0.556667,0.556667,0.950000,1.000000,4.5261,4.9542,23.857,0.9924
24,random2048,7,22660884,300,300,261,261,300,300,1.000000,0.870000,0.870000,1.000000,1.000000,4.7955,5.1293,28.220,0.9969
24,random2048,8,22660885,300,300,175,175,295,300,1.000000,0.583333,0.583333,0.983333,1.000000,4.5403,4.9069,23.810,0.9950
24,random2048,9,22660886,300,300,179,179,286,300,1.000000,0.596667,0.596667,0.953333,1.000000,4.5894,5.1293,25.007,0.9912
24,random2048,10,22660887,300,300,226,226,295,300,1.000000,0.753333,0.753333,0.983333,1.000000,4.7233,5.1699,27.070,0.9953
24,random2048,11,22660888,300,300,161,161,288,300,1.000000,0.536667,0.536667,0.960000,1.000000,4.5375,4.9542,23.660,1.0000
24,random2048,12,22660889,300,300,175,175,280,300,1.000000,0.583333,0.583333,0.933333,1.000000,4.5262,4.9069,23.987,0.9846
24,random2048,13,22660890,300,300,158,158,288,300,1.000000,0.526667,0.526667,0.960000,1.000000,4.5173,4.9084,23.537,0.9961
