role,profile,level,condition,space,metric,mean,ci_low,ci_high,pairs
primary,continuous,60,attack_sweep_continuous,65536,entropy_AP,0.5000328367085275,0.4990134836232667,0.5009974177964343,6
primary,continuous,60,attack_sweep_continuous,65536,unique_ratio_AP,0.4991864462091094,0.4955708225020548,0.5028020699161639,6
primary,continuous,120,attack_sweep_continuous,2048,B2_FNR,0.0,0.0,0.0,6
primary,continuous,120,attack_sweep_continuous,2048,B2_J,0.0,0.0,0.0,6
primary,continuous,120,attack_sweep_continuous,2048,B2_attack_alert,1.0,1.0,1.0,6
primary,continuous,120,attack_sweep_continuous,2048,B2_benign_trigger,1.0,1.0,1.0,6
primary,continuous,120,attack_sweep_continuous,2048,B5_initial_FNR,0.0,0.0,0.0,6
primary,continuous,120,attack_sweep_continuous,2048,B5_initial_J,0.0,0.0,0.0,6
primary,continuous,120,attack_sweep_continuous,2048,B5_initial_attack_alert,1.0,1.0,1.0,6
primary,continuous,120,attack_sweep_continuous,2048,B5_initial_benign_trigger,1.0,1.0,1.0,6
primary,continuous,120,attack_sweep_continuous,2048,B5_locked_FNR,0.0,0.0,0.0,6
primary,continuous,120,attack_sweep_continuous,2048,B5_locked_J,0.0,0.0,0.0,6
primary,continuous,120,attack_sweep_continuous,2048,B5_locked_attack_alert,1.0,1.0,1.0,6
primary,continuous,120,attack_sweep_continuous,2048,B5_locked_benign_trigger,1.0,1.0,1.0,6
primary,continuous,120,attack_sweep_continuous,2048,entropy_AP,0.6262482796951374,0.6039074921142655,0.6516130369207154,6
primary,continuous,120,attack_sweep_continuous,2048,unique_ratio_AP,0.8690525104987717,0.8251991006767243,0.9109649953872873,6
primary,continuous,120,attack_sweep_continuous,65536,B2_FNR,0.0,0.0,0.0,6
primary,continuous,120,attack_sweep_continuous,65536,B2_J,0.0,0.0,0.0,6
primary,continuous,120,attack_sweep_continuous,65536,B2_attack_alert,1.0,1.0,1.0,6
primary,continuous,120,attack_sweep_continuous,65536,B2_benign_trigger,1.0,1.0,1.0,6
primary,continuous,120,attack_sweep_continuous,65536,B5_initial_FNR,0.0,0.0,0.0,6
primary,continuous,120,attack_sweep_continuous,65536,B5_initial_J,0.0,0.0,0.0,6
